PSR Number,Description,Status,Date Originated,Final Complete Date,Product Line(s),Complaint Details.Adverse Event Suspected?,Complaint Details.Facility Country,Complaint Details.Lot/Serial Number,Complaint Details.Complaint Received By,Complaint Details.Investigation Result Code (N/A to all QMS),Complaint Details.Customer Symptom Code
00001331,Description 1331,Submitted,11/30/2017 09:01:07 PM PST,,Product 44,No,United Kingdom,997341,Name 1331,,
00001332,Description 1332,Submitted,11/30/2017 09:01:07 PM PST,,Product 45,No,United Kingdom,252665,Name 1332,,
00001333,Description 1333,Submitted,11/30/2017 09:01:08 PM PST,,Product 46,No,United Kingdom,235742,Name 1333,,
00001334,Description 1334,Closed,11/30/2017 09:01:11 PM PST,11/30/2017 10:33:17 PM PST,Product 47,No,Italy,FZ35858,Name 1334,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00001335,Description 1335,Closed,11/30/2017 09:01:17 PM PST,01/02/2018 02:24:00 AM PST,Product 48,No,Germany,N/A,Name 1335,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001336,Description 1336,Closed,11/30/2017 09:01:17 PM PST,11/30/2017 11:52:23 PM PST,Product 49,No,Switzerland,N/A,Name 1336,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001337,Description 1337,Submitted,11/30/2017 09:01:20 PM PST,,Product 50,No,United Kingdom,999321,Name 1337,,
00001338,Description 1338,Closed,11/30/2017 09:01:22 PM PST,05/15/2018 01:48:35 AM PDT,Product 51,No,United Kingdom,298514,Name 1338,Taastrup|Fitting and Verification|HW|Probe|Calibration failed,Calibration Error
00001339,Description 1339,Closed,11/30/2017 09:01:22 PM PST,12/05/2017 10:37:04 PM PST,Product 52,No,Germany,N/A,Name 1339,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001340,Description 1340,Closed,11/30/2017 09:01:23 PM PST,01/30/2018 11:03:56 PM PST,Product 53,No,Germany,N/A,Name 1340,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001341,Description 1341,Submitted,11/30/2017 09:01:23 PM PST,,Product 54,No,Germany,N/A,Name 1341,,
00001342,Description 1342,Canceled,11/30/2017 09:01:44 PM PST,,Product 55,No,United Kingdom,N/A,Name 1342,,
00001343,Description 1343,Closed,11/30/2017 09:01:48 PM PST,11/30/2017 11:55:28 PM PST,Product 56,No,France,454334,Name 1343,"N/A, Complaint Closed Prior To This Field Implementation",Accessories
00001344,Description 1344,Closed,11/30/2017 09:01:54 PM PST,11/30/2017 10:39:43 PM PST,Product 57,No,Germany,N/A,Name 1344,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001345,Description 1345,Closed,11/30/2017 09:01:55 PM PST,01/02/2018 04:18:38 AM PST,Product 58,No,Germany,N/A,Name 1345,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001346,Description 1346,Closed,11/30/2017 09:01:56 PM PST,11/30/2017 10:41:09 PM PST,Product 59,No,Germany,N/A,Name 1346,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001347,Description 1347,Submitted,11/30/2017 09:01:57 PM PST,,Product 60,No,Germany,N/A,Name 1347,,
00001348,Description 1348,Closed,11/30/2017 09:02:02 PM PST,11/30/2017 10:52:09 PM PST,Product 61,No,Germany,N/A,Name 1348,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00001349,Description 1349,Closed,11/30/2017 09:02:15 PM PST,12/01/2017 03:06:24 AM PST,Product 62,No,France,N/A,Name 1349,"N/A, Complaint Closed Prior To This Field Implementation",Environment
00001350,Description 1350,Closed,12/01/2017 09:00:50 PM PST,12/03/2017 10:45:11 PM PST,Product 63,No,United Kingdom,187991,Name 1350,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00001351,Description 1351,Closed,12/01/2017 09:00:51 PM PST,12/03/2017 10:49:12 PM PST,Product 64,No,United Kingdom,187983,Name 1351,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00001352,Description 1352,Closed,12/01/2017 09:00:51 PM PST,12/03/2017 10:52:19 PM PST,Product 65,No,Australia,186212,Name 1352,"N/A, Complaint Closed Prior To This Field Implementation",Communication to System Issue
00001353,Description 1353,Closed,12/01/2017 09:00:53 PM PST,12/05/2017 10:38:31 PM PST,Product 66,No,Germany,N/A,Name 1353,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001354,Description 1354,Pending,12/01/2017 09:00:54 PM PST,,Product 67,,Germany,22100175,Name 1354,,
00001355,Description 1355,Closed,12/01/2017 09:00:55 PM PST,12/03/2017 10:55:20 PM PST,Product 68,No,United Kingdom,996933,Name 1355,"N/A, Complaint Closed Prior To This Field Implementation",Calibration/Adjustment
00001356,Description 1356,Pending,12/01/2017 09:00:56 PM PST,,Product 69,,Germany,SW-74211880,Name 1356,,
00001357,Description 1357,Submitted,12/01/2017 09:00:57 PM PST,,Product 70,No,Germany,N/A,Name 1357,,Cable issue
00001358,Description 1358,Submitted,12/01/2017 09:00:57 PM PST,,Product 71,No,Germany,124832,Name 1358,,
00001359,Description 1359,Canceled,12/01/2017 09:00:57 PM PST,,Product 72,No,Germany,N/A,Name 1359,,
00001360,Description 1360,Closed,12/01/2017 09:00:58 PM PST,12/05/2017 10:39:45 PM PST,Product 73,No,Germany,N/A,Name 1360,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001361,Description 1361,Pending,12/01/2017 09:00:58 PM PST,,Product 74,,Germany,82101068,Name 1361,,
00001362,Description 1362,Closed,12/01/2017 09:00:59 PM PST,12/03/2017 10:56:50 PM PST,Product 75,No,Germany,N/A,Name 1362,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001363,Description 1363,Submitted,12/01/2017 09:00:59 PM PST,,Product 76,No,Germany,N/A,Name 1363,,
00001364,Description 1364,Closed,12/01/2017 09:01:00 PM PST,12/05/2017 10:41:03 PM PST,Product 77,No,Germany,N/A,Name 1364,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001365,Description 1365,Closed,12/01/2017 09:01:00 PM PST,12/05/2017 10:42:16 PM PST,Product 78,No,Germany,N/A,Name 1365,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001366,Description 1366,Closed,12/01/2017 09:01:01 PM PST,12/03/2017 11:02:19 PM PST,Product 79,No,Germany,N/A,Name 1366,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001367,Description 1367,Submitted,12/01/2017 09:01:01 PM PST,,Product 80,No,USA,15249,Name 1367,,Probe
00001368,Description 1368,Submitted,12/01/2017 09:01:02 PM PST,,Product 81,No,USA,15237,Name 1368,,
00001369,Description 1369,Closed,12/01/2017 09:01:06 PM PST,12/03/2017 11:20:54 PM PST,Product 82,No,Ecuador,212430,Name 1369,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00001370,Description 1370,Closed,12/01/2017 09:01:06 PM PST,12/03/2017 11:23:16 PM PST,Product 83,No,Nepal,133885,Name 1370,"N/A, Complaint Closed Prior To This Field Implementation",Main/Digital Board
00001371,Description 1371,Canceled,12/01/2017 09:01:08 PM PST,,Product 84,No,Sweden,N/A,Name 1371,,
00001372,Description 1372,Submitted,12/01/2017 09:01:10 PM PST,,Product 85,No,Germany,611066,Name 1372,,
00001373,Description 1373,Closed,12/01/2017 09:01:11 PM PST,12/05/2017 10:44:42 PM PST,Product 86,No,Germany,N/A,Name 1373,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001374,Description 1374,Closed,12/01/2017 09:01:11 PM PST,12/03/2017 11:33:39 PM PST,Product 87,No,France,N/A,Name 1374,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001375,Description 1375,Closed,12/01/2017 09:01:12 PM PST,12/03/2017 11:43:40 PM PST,Product 88,No,France,N/A,Name 1375,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00001376,Description 1376,Pending,12/01/2017 09:01:12 PM PST,,Product 89,,Germany,24211207,Name 1376,,
00001377,Description 1377,Closed,12/01/2017 09:01:13 PM PST,12/03/2017 11:46:08 PM PST,Product 90,No,Germany,N/A,Name 1377,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001378,Description 1378,Submitted,12/04/2017 09:00:43 PM PST,,Product 91,No,Germany,N/A,Name 1378,,
00001379,Description 1379,Submitted,12/05/2017 09:00:43 PM PST,,Product 92,No,Germany,N/A,Name 1379,,
00001380,Description 1380,Canceled,12/05/2017 09:00:44 PM PST,,Product 93,No,Germany,R4915428,Name 1380,,
00001381,Description 1381,Canceled,12/05/2017 09:00:44 PM PST,,Product 94,No,Germany,R4593592,Name 1381,,
00001382,Description 1382,Review,12/01/2017 09:01:13 PM PST,,Product 95,No,United Kingdom,ZO002057,Name 1382,Taastrup|Immittance|HW|Probe|Uncertain,Probe
00001383,Description 1383,Closed,12/01/2017 09:01:24 PM PST,01/02/2018 05:15:57 AM PST,Product 96,No,United Kingdom,394487,Name 1383,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001384,Description 1384,Submitted,12/01/2017 09:01:34 PM PST,,Product 97,No,Italy,N/A,Name 1384,Taastrup|Otoscopy|HW|Uncertain|Uncertain,Probe
00001385,Description 1385,Closed,12/04/2017 09:00:44 PM PST,12/04/2017 10:36:41 PM PST,Product 98,No,Germany,N/A,Name 1385,"N/A, Complaint Closed Prior To This Field Implementation",Parts Order
00001386,Description 1386,Submitted,12/04/2017 09:00:46 PM PST,,Product 99,No,Denmark,286703,Name 1386,Taastrup|Audiometry|HW|Uncertain|Uncertain,
00001387,Description 1387,Closed,12/04/2017 09:00:47 PM PST,12/04/2017 10:58:22 PM PST,Product 1,No,United Kingdom,980360,Name 1387,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00001388,Description 1388,Closed,12/03/2017 09:00:45 PM PST,12/03/2017 11:51:06 PM PST,Product 2,No,Germany,322851,Name 1388,"N/A, Complaint Closed Prior To This Field Implementation",Calibration/Adjustment
00001389,Description 1389,Closed,12/03/2017 09:00:52 PM PST,12/04/2017 03:09:38 AM PST,Product 3,No,USA,208680,Name 1389,"N/A, Complaint Closed Prior To This Field Implementation",Request for upgrade
00001390,Description 1390,Closed,12/04/2017 09:00:54 PM PST,01/09/2018 05:19:35 AM PST,Product 4,No,China,N/A,Name 1390,"N/A, Complaint Closed Prior To This Field Implementation",Correction/replacement program
00001391,Description 1391,Review,12/03/2017 09:00:54 PM PST,,Product 5,No,USA,252724,Name 1391,Taastrup|Caloric Irrigation|HW|Pump|Leak,Pump
00001392,Description 1392,Closed,12/03/2017 09:00:55 PM PST,12/04/2017 03:07:39 AM PST,Product 6,No,USA,944154,Name 1392,"N/A, Complaint Closed Prior To This Field Implementation",Communication to System Issue
00001393,Description 1393,Submitted,12/03/2017 09:00:55 PM PST,,Product 7,No,USA,267886,Name 1393,"N/A, Complaint Closed Prior To This Field Implementation",Pump
00001394,Description 1394,Submitted,12/04/2017 09:00:55 PM PST,,Product 8,No,United Kingdom,4.83,Name 1394,Taastrup|Otoscopy|SW|Installation|Start/installation issue,Software Issue
00001395,Description 1395,Closed,12/04/2017 09:00:55 PM PST,12/05/2017 10:58:30 PM PST,Product 9,No,France,N/A,Name 1395,"N/A, Complaint Closed Prior To This Field Implementation",Software Issue
00001396,Description 1396,Closed,12/04/2017 09:00:58 PM PST,12/04/2017 11:07:15 PM PST,Product 10,No,United Kingdom,87771,Name 1396,"N/A, Complaint Closed Prior To This Field Implementation",Camera
00001397,Description 1397,Closed,12/04/2017 09:00:58 PM PST,12/04/2017 11:10:14 PM PST,Product 11,No,United Kingdom,163225,Name 1397,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00001398,Description 1398,Closed,12/04/2017 09:00:59 PM PST,12/04/2017 11:19:21 PM PST,Product 12,No,United Kingdom,3509,Name 1398,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00001399,Description 1399,Closed,12/04/2017 09:01:01 PM PST,12/04/2017 11:22:25 PM PST,Product 13,No,France,N/A,Name 1399,"N/A, Complaint Closed Prior To This Field Implementation",Microphone
00001400,Description 1400,Closed,12/04/2017 09:01:01 PM PST,12/04/2017 10:43:37 PM PST,Product 14,No,Germany,N/A,Name 1400,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001401,Description 1401,Closed,12/04/2017 09:01:02 PM PST,12/04/2017 11:26:37 PM PST,Product 15,No,Germany,TSM400-1446,Name 1401,"N/A, Complaint Closed Prior To This Field Implementation",Repair
00001402,Description 1402,Closed,12/04/2017 09:01:02 PM PST,12/04/2017 10:45:10 PM PST,Product 16,No,Germany,N/A,Name 1402,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001403,Description 1403,Closed,12/04/2017 09:01:03 PM PST,12/04/2017 11:27:53 PM PST,Product 17,No,Germany,704888,Name 1403,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00001404,Description 1404,Closed,12/04/2017 09:01:03 PM PST,12/04/2017 11:34:28 PM PST,Product 18,No,Germany,378168,Name 1404,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00001405,Description 1405,Closed,12/04/2017 09:01:04 PM PST,12/04/2017 11:41:30 PM PST,Product 19,No,Germany,384306,Name 1405,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00001406,Description 1406,Closed,12/04/2017 09:01:04 PM PST,12/04/2017 10:47:44 PM PST,Product 20,No,Germany,321748,Name 1406,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00001407,Description 1407,Closed,12/05/2017 09:00:46 PM PST,12/05/2017 10:43:27 PM PST,Product 21,No,Germany,N/A,Name 1407,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001408,Description 1408,Submitted,12/05/2017 09:00:46 PM PST,,Product 22,No,Germany,TSM300-16124,Name 1408,Taastrup|Audiometry|HW|Uncertain|Other,Other
00001409,Description 1409,Closed,12/05/2017 09:00:47 PM PST,12/05/2017 10:46:10 PM PST,Product 23,No,Germany,N/A,Name 1409,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001410,Description 1410,Closed,12/05/2017 09:00:47 PM PST,12/05/2017 10:47:23 PM PST,Product 24,No,Germany,N/A,Name 1410,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001411,Description 1411,Closed,12/05/2017 09:00:48 PM PST,12/05/2017 10:48:37 PM PST,Product 25,No,Germany,N/A,Name 1411,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001412,Description 1412,Submitted,12/05/2017 09:00:49 PM PST,,Product 26,No,Germany,430836,Name 1412,,Camera
00001413,Description 1413,Submitted,12/05/2017 09:00:49 PM PST,,Product 27,No,Germany,344307,Name 1413,,Calibration/Adjustment
00001414,Description 1414,Closed,12/05/2017 09:00:50 PM PST,12/05/2017 11:08:04 PM PST,Product 28,No,Germany,N/A,Name 1414,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00001415,Description 1415,Submitted,12/05/2017 09:00:50 PM PST,,Product 29,No,Germany,81405,Name 1415,Taastrup|Vestibular Testing|Other|Other|Other,Other
00001416,Description 1416,Closed,12/05/2017 09:00:51 PM PST,01/09/2018 10:22:30 PM PST,Product 30,No,Germany,N/A,Name 1416,"N/A, Complaint Closed Prior To This Field Implementation",Correction/replacement program
00001417,Description 1417,Closed,12/05/2017 09:00:51 PM PST,12/05/2017 10:49:36 PM PST,Product 31,No,Germany,N/A,Name 1417,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001418,Description 1418,Canceled,12/05/2017 09:00:52 PM PST,,Product 32,No,Germany,N/A,Name 1418,,Other
00001419,Description 1419,Canceled,12/05/2017 09:00:52 PM PST,,Product 33,,Germany,,Name 1419,,
00001420,Description 1420,Closed,12/04/2017 09:01:05 PM PST,12/04/2017 10:49:22 PM PST,Product 34,No,Germany,N/A,Name 1420,"N/A, Complaint Closed Prior To This Field Implementation",Parts Order
00001421,Description 1421,Closed,12/04/2017 09:01:05 PM PST,12/04/2017 10:51:14 PM PST,Product 35,No,Germany,N/A,Name 1421,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001422,Description 1422,Closed,12/04/2017 09:01:06 PM PST,12/04/2017 11:44:27 PM PST,Product 36,No,United Kingdom,431177,Name 1422,"N/A, Complaint Closed Prior To This Field Implementation","Display problems, abnormal/fai"
00001423,Description 1423,Closed,12/04/2017 09:01:09 PM PST,12/04/2017 11:48:52 PM PST,Product 37,No,United Kingdom,211001,Name 1423,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00001424,Description 1424,Closed,12/04/2017 09:01:39 PM PST,12/04/2017 11:52:44 PM PST,Product 38,No,Ireland,425510,Name 1424,"N/A, Complaint Closed Prior To This Field Implementation",Cable issue
00001425,Description 1425,Pending,12/06/2017 09:00:50 PM PST,,Product 39,,Germany,62490,Name 1425,,
00001426,Description 1426,Closed,12/05/2017 09:00:55 PM PST,12/05/2017 11:11:02 PM PST,Product 40,No,United Kingdom,700165,Name 1426,"N/A, Complaint Closed Prior To This Field Implementation",Calibration Error
00001427,Description 1427,Submitted,12/05/2017 09:00:57 PM PST,,Product 41,No,Norway,301587,Name 1427,Taastrup|OAE & Evoked Potentials|HW|OAE Probe|Broken,Probe
00001428,Description 1428,Closed,12/05/2017 09:00:58 PM PST,12/05/2017 10:50:42 PM PST,Product 42,No,Germany,N/A,Name 1428,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001429,Description 1429,Closed,12/05/2017 09:00:58 PM PST,12/05/2017 11:24:44 PM PST,Product 43,No,Germany,285761,Name 1429,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00001430,Description 1430,Closed,12/05/2017 09:01:00 PM PST,05/15/2018 01:07:15 AM PDT,Product 44,No,USA,884018,Name 1430,Taastrup|Otoscopy|HW|USB Cable|Connection issues,PSU/Charger
00001431,Description 1431,Submitted,12/05/2017 09:01:00 PM PST,,Product 45,No,USA,944162,Name 1431,Taastrup|Otoscopy|HW|Camera|Out of focus,Camera
00001432,Description 1432,Closed,12/05/2017 09:01:03 PM PST,12/05/2017 11:26:16 PM PST,Product 46,No,Spain,390679,Name 1432,"N/A, Complaint Closed Prior To This Field Implementation",Calibration
00001433,Description 1433,Submitted,12/05/2017 09:01:05 PM PST,,Product 47,No,Ireland,425511,Name 1433,Taastrup|OAE & Evoked Potentials|HW|OAE Probe|Broken,Cable issue
00001434,Description 1434,Submitted,12/05/2017 09:01:06 PM PST,,Product 48,No,United Kingdom,432220,Name 1434,Taastrup|OAE & Evoked Potentials|HW|ABR cable|Connection issues,Cable issue
00001435,Description 1435,Submitted,12/05/2017 09:01:06 PM PST,,Product 49,No,United Kingdom,432213,Name 1435,Taastrup|OAE & Evoked Potentials|HW|ABR cable|Failed internal test,Cable issue
00001436,Description 1436,Submitted,12/05/2017 09:01:07 PM PST,,Product 50,No,United Kingdom,432214,Name 1436,Taastrup|OAE & Evoked Potentials|HW|ABR cable|Failed internal test,Cable issue
00001437,Description 1437,Closed,12/05/2017 09:01:07 PM PST,12/05/2017 11:29:09 PM PST,Product 51,No,Belgium,ZO159038,Name 1437,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00001438,Description 1438,Closed,12/05/2017 09:01:08 PM PST,12/05/2017 11:32:43 PM PST,Product 52,No,France,N/A,Name 1438,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001439,Description 1439,Closed,12/05/2017 09:01:11 PM PST,02/20/2019 03:38:06 AM PST,Product 53,No,Philippines,305239,Name 1439,Taastrup|OAE & Evoked Potentials|Other|Other|Other,Other
00001440,Description 1440,Closed,12/05/2017 09:01:12 PM PST,02/20/2019 06:57:39 AM PST,Product 54,No,Philippines,305240,Name 1440,Taastrup|OAE & Evoked Potentials|Other|Other|Other,Calibration/Adjustment
00001441,Description 1441,Review,12/05/2017 09:01:14 PM PST,,Product 55,No,United Kingdom,430930,Name 1441,Taastrup|OAE & Evoked Potentials|HW|OAE Probe|No output,Probe
00001442,Description 1442,Closed,12/05/2017 09:01:14 PM PST,12/05/2017 11:54:11 PM PST,Product 56,No,United Kingdom,680002,Name 1442,"N/A, Complaint Closed Prior To This Field Implementation",Main/Digital Board
00001443,Description 1443,Closed,12/06/2017 09:00:51 PM PST,12/06/2017 10:42:14 PM PST,Product 57,No,Germany,N/A,Name 1443,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001444,Description 1444,Submitted,12/06/2017 09:00:51 PM PST,,Product 58,No,Germany,146581,Name 1444,,Other
00001445,Description 1445,Closed,12/06/2017 09:00:52 PM PST,12/06/2017 10:47:02 PM PST,Product 59,No,Germany,N/A,Name 1445,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001446,Description 1446,Closed,12/05/2017 09:01:22 PM PST,12/05/2017 11:57:01 PM PST,Product 60,No,United Kingdom,264570,Name 1446,"N/A, Complaint Closed Prior To This Field Implementation",Headset
00001447,Description 1447,Closed,12/05/2017 09:01:26 PM PST,12/05/2017 11:59:27 PM PST,Product 61,No,Spain,292463,Name 1447,"N/A, Complaint Closed Prior To This Field Implementation",Communication Board
00001448,Description 1448,Submitted,12/05/2017 09:01:27 PM PST,,Product 62,No,Germany,1600122034,Name 1448,,Headset
00001449,Description 1449,Closed,12/05/2017 09:01:27 PM PST,12/05/2017 10:51:44 PM PST,Product 63,No,Germany,N/A,Name 1449,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001450,Description 1450,Submitted,12/05/2017 09:01:27 PM PST,,Product 64,No,Germany,383353,Name 1450,,Other
00001451,Description 1451,Submitted,12/07/2017 09:00:46 PM PST,,Product 65,No,Germany,300552,Name 1451,,Calibration/Adjustment
00001452,Description 1452,Closed,12/07/2017 09:00:46 PM PST,12/07/2017 10:44:29 PM PST,Product 66,No,Germany,256351,Name 1452,"N/A, Complaint Closed Prior To This Field Implementation",Communication to System Issue
00001453,Description 1453,Closed,12/05/2017 09:01:33 PM PST,12/06/2017 12:03:47 AM PST,Product 67,No,United Kingdom,410693,Name 1453,"N/A, Complaint Closed Prior To This Field Implementation",Communication to System Issue
00001454,Description 1454,Closed,12/06/2017 09:00:53 PM PST,12/06/2017 11:02:24 PM PST,Product 68,No,United Kingdom,333471,Name 1454,"N/A, Complaint Closed Prior To This Field Implementation",Repair
00001455,Description 1455,Canceled,12/06/2017 09:00:58 PM PST,,Product 69,No,Germany,20740041,Name 1455,,Other
00001456,Description 1456,Closed,12/06/2017 09:01:01 PM PST,12/06/2017 11:09:05 PM PST,Product 70,No,Nepal,133885,Name 1456,"N/A, Complaint Closed Prior To This Field Implementation",PSU/Charger
00001457,Description 1457,Closed,12/06/2017 09:01:01 PM PST,12/06/2017 11:08:01 PM PST,Product 71,No,Nepal,198094,Name 1457,"N/A, Complaint Closed Prior To This Field Implementation",PSU/Charger
00001458,Description 1458,Closed,02/05/2018 09:00:43 PM PST,05/09/2018 04:43:40 AM PDT,Product 72,No,Ireland,N/A,Name 1458,Taastrup|Audiometry|SW|Stability|Other,Other
00001459,Description 1459,Closed,12/06/2017 09:01:07 PM PST,12/06/2017 11:11:24 PM PST,Product 73,No,United Kingdom,59104,Name 1459,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00001460,Description 1460,Closed,12/06/2017 09:01:07 PM PST,12/07/2017 02:20:26 AM PST,Product 74,No,Germany,N/A,Name 1460,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001461,Description 1461,Submitted,12/06/2017 09:01:08 PM PST,,Product 75,No,Germany,257831,Name 1461,,Other
00001462,Description 1462,Closed,12/06/2017 09:01:08 PM PST,12/06/2017 11:35:33 PM PST,Product 76,No,Poland,223712,Name 1462,"N/A, Complaint Closed Prior To This Field Implementation",Pump
00001463,Description 1463,Closed,12/06/2017 09:01:09 PM PST,12/06/2017 11:38:01 PM PST,Product 77,No,United Kingdom,242392,Name 1463,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001464,Description 1464,Closed,12/06/2017 09:01:10 PM PST,12/07/2017 02:11:45 AM PST,Product 78,No,United Kingdom,187747,Name 1464,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001465,Description 1465,Closed,12/06/2017 09:01:15 PM PST,12/07/2017 02:17:26 AM PST,Product 79,No,Germany,698008,Name 1465,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001466,Description 1466,Submitted,12/06/2017 09:01:21 PM PST,,Product 80,No,United Kingdom,N/A,Name 1466,,Other
00001467,Description 1467,Submitted,12/07/2017 09:00:48 PM PST,,Product 81,No,France,974582,Name 1467,,Other
00001468,Description 1468,Closed,12/07/2017 09:00:49 PM PST,12/07/2017 10:01:24 PM PST,Product 82,No,Germany,N/A,Name 1468,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001469,Description 1469,Closed,12/07/2017 09:00:49 PM PST,12/07/2017 10:02:43 PM PST,Product 83,No,Germany,N/A,Name 1469,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001470,Description 1470,Submitted,12/07/2017 09:00:50 PM PST,,Product 84,No,Germany,343774,Name 1470,,Other
00001471,Description 1471,Closed,12/07/2017 09:00:51 PM PST,12/07/2017 10:04:03 PM PST,Product 85,No,Germany,N/A,Name 1471,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001472,Description 1472,Submitted,12/07/2017 09:00:51 PM PST,,Product 86,No,Germany,339312,Name 1472,,
00001473,Description 1473,Closed,12/07/2017 09:00:52 PM PST,12/07/2017 10:05:20 PM PST,Product 87,No,Germany,N/A,Name 1473,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001474,Description 1474,Closed,12/07/2017 09:00:52 PM PST,12/07/2017 10:06:26 PM PST,Product 88,No,Germany,N/A,Name 1474,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001475,Description 1475,Submitted,12/07/2017 09:00:53 PM PST,,Product 89,No,Germany,956125,Name 1475,,
00001476,Description 1476,Closed,12/07/2017 09:00:53 PM PST,12/07/2017 10:09:29 PM PST,Product 90,No,Germany,N/A,Name 1476,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001477,Description 1477,Submitted,12/07/2017 09:00:54 PM PST,,Product 91,No,Germany,408559,Name 1477,,
00001478,Description 1478,Closed,12/07/2017 09:00:54 PM PST,12/07/2017 10:10:57 PM PST,Product 92,No,Germany,N/A,Name 1478,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001479,Description 1479,Closed,12/07/2017 09:00:55 PM PST,01/14/2018 10:27:20 PM PST,Product 93,No,Germany,N/A,Name 1479,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001480,Description 1480,Closed,12/07/2017 09:00:55 PM PST,12/07/2017 10:12:29 PM PST,Product 94,No,Germany,N/A,Name 1480,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001481,Description 1481,Submitted,12/07/2017 09:00:56 PM PST,,Product 95,No,Germany,392278,Name 1481,,
00001482,Description 1482,Closed,12/07/2017 09:00:57 PM PST,12/07/2017 11:10:41 PM PST,Product 96,No,Germany,945953,Name 1482,"N/A, Complaint Closed Prior To This Field Implementation",Calibration/Adjustment
00001483,Description 1483,Closed,12/07/2017 09:01:00 PM PST,12/07/2017 11:16:16 PM PST,Product 97,No,Ireland,382609,Name 1483,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00001484,Description 1484,Closed,12/07/2017 09:01:00 PM PST,12/07/2017 10:13:49 PM PST,Product 98,No,Germany,N/A,Name 1484,"N/A, Complaint Closed Prior To This Field Implementation",Other
00001485,Description 1485,Closed,12/07/2017 09:01:02 PM PST,12/07/2017 11:19:53 PM PST,Product 99,No,Germany,N/A,Name 1485,"N/A, Complaint Closed Prior To This Field Implementation",Probe
00001486,Description 1486,Submitted,12/07/2017 09:01:03 PM PST,,Product 1,No,Italy,"381520, 944575",Name 1486,,
00001487,Description 1487,Canceled,12/07/2017 09:01:05 PM PST,,Product 2,No,Italy,N/A,Name 1487,,Other
00001488,Description 1488,Closed,12/07/2017 09:01:06 PM PST,12/07/2017 11:29:03 PM PST,Product 3,No,Ireland,382609,Name 1488,"N/A, Complaint Closed Prior To This Field Implementation",Chassis
